include,publication_number,title,inventor,assignee,priority_date,filing_date,publication_date,grant_date,language,family_country_status,snippet,google_patents_url,query_hit,notes
,US20070241058A1,Method for monitoring the degree of fouling of a filter,Matthias Wessling,Norit Membraan Technologie B.V.,2004-09-16,2007-03-15,2007-10-18,,en,WO=NOT_ACTIVE;EP=ACTIVE;US=ACTIVE;CN=ACTIVE;JP=ACTIVE;KR=ACTIVE;AU=ACTIVE;CA=ACTIVE;ES=NOT_ACTIVE;NL=NOT_ACTIVE;ZA=UNKNOWN,"A method of filtering a fluid wherein after filtering a contaminated fluid, which causes the formation of a filter cake, a substantially non-contaminated fluid is fed through the filter cake and filter at varying flux or at varying driving force. At the same time the necessary driving force or the ...",https://patents.google.com/patent/US20070241058A1/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",
,EP1781845B1,Functional porous multilayer fibre and its preparation,Matthias Wessling,Mosaic Systems B.V.,2004-08-17,2005-08-17,2010-12-15,2010-12-15,en,WO=NOT_ACTIVE;EP=ACTIVE;US=NOT_ACTIVE;CN=ACTIVE;JP=ACTIVE;AT=NOT_ACTIVE;CA=NOT_ACTIVE;DE=NOT_ACTIVE,"The invention relates to a hollow or solid fibre having multiple porous layers concentrically arranged, and wherein at least one of the layers comprises functionalized or active particles that are well accessible and maintain their function after preparation. The layer containing high loads of ...",https://patents.google.com/patent/EP1781845B1/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",
,US7644825B2,Membrane and use thereof,Matthias Wessling,Gambro Lundia Ab,2002-11-30,2003-10-17,2010-01-12,2010-01-12,en,WO=NOT_ACTIVE;EP=ACTIVE;US=ACTIVE;CN=ACTIVE;JP=ACTIVE;KR=ACTIVE;AT=NOT_ACTIVE;AU=NOT_ACTIVE;DE=NOT_ACTIVE;ES=NOT_ACTIVE,"The membrane producible by shaping a polymer blend or a block copolymer comprising blocks of monomer units, loading the polymer blend or block copolymer with a blowing gas concentration within the polymer blend or block polymer above a critical concentration at a temperature below a critical ...",https://patents.google.com/patent/US7644825B2/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",
,CY1114296T1,METHOD FOR PREPARING OPTICAL FIBER,Matthias Wessling,Neokidney Holding B.V.,2002-06-28,2013-07-05,2016-08-31,,en,WO=NOT_ACTIVE;EP=ACTIVE;US=ACTIVE;CN=ACTIVE;JP=ACTIVE;AU=NOT_ACTIVE;CA=ACTIVE;CY=UNKNOWN;DK=ACTIVE;ES=NOT_ACTIVE;PT=UNKNOWN;SI=UNKNOWN,"The invention relates to a process for the preparation of porous polymeric fibers, which contain activated or reactive particles. By extruding a mixture of one or more dissolved polymers with particulate material, a porous fiber is obtained in which the particulate material is trapped. The ...",https://patents.google.com/patent/CY1114296T1/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",Likely national validation/translation of a family member — keep one representative per family if desired
,AU2003230463A1,Separation of unsaturated hydrocarbons from a fluid mixture,Matthias Wessling,Nederlandse Organisatie Voor Toegepast- Natuurwetenschappelijk Onderzoek Tno,2002-06-28,2003-05-08,2004-01-19,,en,WO=NOT_ACTIVE;EP=NOT_ACTIVE;AU=NOT_ACTIVE,,https://patents.google.com/patent/AU2003230463A1/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",Likely national validation/translation of a family member — keep one representative per family if desired
,US7531120B2,Method of making a product with a micro or nano sized structure and product,Matthias Wessling,Aquamarijn Holding B.V.,2000-12-02,2001-12-03,2009-05-12,2009-05-12,en,WO=NOT_ACTIVE;EP=ACTIVE;US=ACTIVE;AT=NOT_ACTIVE;AU=NOT_ACTIVE;DE=NOT_ACTIVE;NL=NOT_ACTIVE,"Using phase separation technique perforated as well as non-perforated polymeric structures can be made with high aspect ratios (>5). By varying the phase separation process the properties (e.g. porous, non-porous, dense, open skin) of the moulded product can be tuned. Applications are described in ...",https://patents.google.com/patent/US7531120B2/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",
,EP1299462A1,Membrane and the use thereof,Matthias Wessling,Universität Twente,2000-07-08,2001-06-15,2003-04-09,,en,WO=NOT_ACTIVE;EP=ACTIVE;US=ACTIVE;JP=ACTIVE;AT=NOT_ACTIVE;AU=NOT_ACTIVE;DE=NOT_ACTIVE;ES=NOT_ACTIVE,"The invention relates to a membrane that consists of a polymer or a polymer mixture. The aim of the invention is to produce membranes, especially planar membranes or hollow fiber membranes that have an as high a separation efficiency as possible while simultaneously having a high membrane ...",https://patents.google.com/patent/EP1299462A1/en,inventor=Matthias+Wessling,
,WO2002004554A1,Membrane and the use thereof,Matthias Wessling,Universität Twente,2000-07-08,2001-06-15,2002-01-17,,en,WO=NOT_ACTIVE;EP=ACTIVE;US=ACTIVE;JP=ACTIVE;AT=NOT_ACTIVE;AU=NOT_ACTIVE;DE=NOT_ACTIVE;ES=NOT_ACTIVE,"The invention relates to a membrane that consists of a polymer or a polymer mixture. The aim of the invention is to produce membranes, especially planar membranes or hollow fiber membranes that have an as high a separation efficiency as possible while simultaneously having a high membrane ...",https://patents.google.com/patent/WO2002004554A1/en,"inventor=""Matthias Wessling""",
,ATE244055T1,MEMBRANE AND THEIR USE,Matthias Wessling,Univ Twente,1999-02-24,2000-01-05,2003-07-15,2003-07-15,en,WO=NOT_ACTIVE;EP=ACTIVE;CN=ACTIVE;JP=ACTIVE;KR=ACTIVE;AT=NOT_ACTIVE;AU=NOT_ACTIVE;DE=NOT_ACTIVE;ES=NOT_ACTIVE,"The invention relates to a membrane that is produced by shaping a polymer or a polymer blend into the desired shape, charging it with a gas at hyperbaric pressure prior or after shaping it, expanding the polymer charged with gas above the glass transition temperature of the polymer/gas mixture and ...",https://patents.google.com/patent/ATE244055T1/en,inventor=Matthias+Wessling,Likely national validation/translation of a family member — keep one representative per family if desired
,AU2435100A,Membrane and its use,Matthias Wessling,Universitat Twente,1999-02-24,2000-01-05,2000-09-14,,en,WO=NOT_ACTIVE;EP=ACTIVE;CN=ACTIVE;JP=ACTIVE;KR=ACTIVE;AT=NOT_ACTIVE;AU=NOT_ACTIVE;DE=NOT_ACTIVE;ES=NOT_ACTIVE,"The invention relates to a membrane that is produced by shaping a polymer or a polymer blend into the desired shape, charging it with a gas at hyperbaric pressure prior or after shaping it, expanding the polymer charged with gas above the glass transition temperature of the polymer/gas mixture and ...",https://patents.google.com/patent/AU2435100A/en,"inventor=""Matthias Wessling""",Likely national validation/translation of a family member — keep one representative per family if desired
,ES2183560T3,PREPARATION OF AN ORGANIC COMPOUND FOR A CONDENSATION RACTION.,Matthias Wessling,Akzo Nobel Nv,1998-05-20,1999-05-15,2003-03-16,2003-03-16,en,WO=NOT_ACTIVE;EP=ACTIVE;US=NOT_ACTIVE;JP=NOT_ACTIVE;AT=NOT_ACTIVE;DE=NOT_ACTIVE;ES=NOT_ACTIVE;NL=NOT_ACTIVE,"A process for the preparation of an organic compound by a condensation reaction in which in addition to the organic compound, other products are formed and one or more of the products formed during the preparation are extracted from the reaction mixture with the aid of a membrane , characterized ...",https://patents.google.com/patent/ES2183560T3/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",Likely national validation/translation of a family member — keep one representative per family if desired
,US5711882A,Gas separation membrane module and process,Matthias Wessling,"Membrane Technology And Research, Inc.",1995-09-29,1995-09-29,1998-01-27,1998-01-27,en,US=NOT_ACTIVE,"A spiral-wound, gas-separation membrane module and a gas-separation process. The module and process provide at least partial counter-current flow between the feed and permeate gas streams without requiring a permeate sweep. The counter-current flow pattern can be achieved by appropriate placement ...",https://patents.google.com/patent/US5711882A/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",
,US5611841A,Vapor recovery process using baffled membrane module,Matthias Wessling,"Membrane Technology And Research, Inc.",1995-09-29,1995-09-29,1997-03-18,1997-03-18,en,US=NOT_ACTIVE,"A gas-separation method for controlling vapor emissions. The method employs a spiral-wound membrane module, adapted to provide one or more feed-side baffles in the feed channel. The method may be used to control vapor emissions from a volatile liquid, and is particularly useful to control fuel ...",https://patents.google.com/patent/US5611841A/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",
